BreedName,AltBreedName,Group1,Group2,MaleWtKg,Temperment,AvgPupPrice,Intelligence,Watchdog,MalaysiaGuardedDog,MalaysiaProhibitedDog,MalaysiaPopularity,PopularityUS2017
Norwegian Buhund,,Herding,Northern,16,"Agile, Courageous, Energetic, Friendly, Fun-loving",900,,4,,,,170
Norwegian Elkhound,,Hound,Northern,26,"Alert, Bold, Hardy, Loyal, Playful, Strong-willed, Intelligent",600,36,6,,,,91
Norwegian Lundehund,,Non Sporting,Northern,8,"Alert, Energetic, Loyal, Protective",500,,4,,,,190
Norwich Terrier,,Terrier,Terrier,5,"Affectionate, Energetic, Hardy, Intelligent, Sensitive",1700,38,3,,,,105
Nova Scotia Duck-Tolling Retriever,,Sporting,Gun Dogs,20,"Affectionate, Alert, Courageous, Energetic, Gentle, Playful, Responsive",1900,,5,,,,89
Old English Sheepdog,,Herding,Herding,39,"Adaptable, Bubbly, Intelligent, Loving, Playful, Sociable, Protective",1350,63,4,,,,70
Otterhound,,Hound,Scenthound,41,"Amiable, Boisterous, Even-tempered",550,46,2,,,,186
Papillon,,Toy,Companion,5,"Alert, Energetic, Friendly, Happy, Hardy, Intelligent",500,8,3,,,,53
Patterdale Terrier (Fell Terrier),,Terrier,Terrier,6,"Bold, Confident, Energetic, Friendly, Inquisitive, Intelligent",600,,3,,,,
Pekingese,,Toy,Companion,4,"Affectionate, Aggressive, Good-natured, Intelligent, Opinionated, Stubborn",700,73,3,,,,88
Peruvian Inca Orchid,,Hound,Sight,10,"Affectionate, Alert, Intelligent, Lively, Noble, Protective",500,,4,,,,
Petit Basset Griffon Vendeen,,Hound,Scenthound,16,"Active, Extroverted, Friendly, Happy, Independent, Lively, Intelligent",1400,62,3,,,,160
Pharaoh Hound,,Hound,Sight,23,"Active, Affectionate, Intelligent, Playful, Sociable, Trainable",1900,37,2,,,,174
Pit Bull Terrier,,Terrier,Terrier,23,"Affectionate, Aggressive, Clownish, Courageous, Friendly, Intelligent, Loyal, Obedient, Strong-willed, Stubborn",600,,3,,1,,
Plott Hound,,Hound,Scenthound,26,"Alert, Bold, Courageous, Loyal",400,,3,,,,166
Podengo Portugueso,,Hound,Sight,5,"Active, Companionable, Friendly, Hardy, Lively, Loyal",900,,3,,,,159
Pointer,,Sporting,Gun,25,"Active, Affectionate, Amiable, Even-tempered, Kind, Loyal, Intelligent",450,43,4,,,,113
Polish Lowland Sheepdog,,Herding,Herding,19,"Agile, Even-tempered, Lively, Perceptive, Self-confident",1750,,6,,,,176
Pomeranian,,Toy,Companion,2,"Active, Extroverted, Friendly, Intelligent, Lively, Playful, Sociable",700,23,3,,,4,22
Poodle,,Non Sporting,Gun,26,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",1250,2,4,,,1,7
Standard Poodle,,Non Sporting,Gun,26,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",1250,2,4,,,,7
Miniature Poodle,,Toy,Companion,8,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",1250,2,4,,,,
Toy Poodle,,Toy,Companion,4,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",1250,2,4,,,,
Portuguese Water Dog,,Working,Gun,22,"Brave, Docile, Impetuous, Intelligent, Obedient, Quarrelsome",2650,,4,,,,54
Presa Canario,,Working,Guardian,40,"Calm, Dominant, Gentle, Strong-willed, Suspicious",2100,,6,1,,,
Pug,,Toy,Companion,8,"Affectionate, Cheerful, Courageous, Gentle, Intelligent, Friendly, Outgoing, Playful, Loyal",400,57,3,,,,31
Puli,,Herding,Herding,14,"Agile, Energetic, Faithful, Intelligent, Loyal, Obedient",1100,27,5,,,,142
Pumi,,Herding,Herding,13,"Active, Intelligent, Lively, Protective, Reserved, Vocal",2750,,3,,,,162
Rat Terrier,,Terrier,Terrier,11,"Affectioante, Alert, Inquisitive, Lively, Loving",400,,3,,,,97
Redbone Coonhound,Redbone,Hound,Scenthound,28,"Affectionate, Companionable, Energetic, Familial, Independent, Unflappable",700,,1,,,,139
Retriever,,Sporting,Gun,32,"Confident, Friendly, Intelligent, Kind, Reliable, Trustworthy",1500,4,3,,,,3
Rhodesian Ridgeback,,Hound,Sight,39,"Dignified, Intelligent, Loyal, Mischevious, Sensitive, Strong-willed",1150,52,3,,,,41
Rottweiler,,Working,Guardian,51,"Alert, Courageous, Fearless, Good-natured, Independent, Intelligent, Loyal, Protective",1600,9,6,1,,7,8
Saint Bernard,,Working,Guardian,66,"Friendly, Gentle, Independent, Intelligent, Outgoing, Quiet, Social",1650,65,3,,,,48
Saluki,,Hound,Sight,21,"Aloof, Intelligent, Quiet, Reserverd, Loyal",700,43,3,,,,123
Samoyed,,Working,Northern,26,"Alert, Lively, Friendly, Intelligent, Playful, Sociable, Stubborn",1350,33,4,,,,57
Sarplaninac,,Working,Guardian,33,"Independent, Calm, Devoted, Intelligent, Protective, Reliable",900,,5,,,,
Schipperke,,Non Sporting,Companion,7,"Agile, Confident, Curious, Faithful, Fearless, Independent, Intelligent",800,15,3,,,,110
Miniature Schnauzer,,Terrier,Companion,8,"Devoted, Good-natured, Intelligent, Lively, Playful, Trainable",800,,3,,,,18
Schnauzer,Standard Schnauzer,Working,Herding,17,"Devoted, Good-natured, Intelligent, Lively, Playful, Trainable",1350,18,4,,,3,90
Giant Schnauzer,,Working,Herding,31,"Devoted, Good-natured, Intelligent, Lively, Playful, Trainable",1250,,3,,,,80
